word,coeff_ci_min,coeff_means,coeff_ci_max,is_significant
rock,-0.2011861526246768,-0.05874407522513423,0.06655867891494653,False
advertisement,-0.1917678824011735,-0.09624130519323401,0.009471132713599104,False
catch,-0.18476837281310005,-0.06559188107367439,0.07305506149078457,False
displayed,-0.1367865140296381,-0.06355384780608189,0.03531235121317434,False
measured,-0.24737882353287285,-0.12125416315927881,0.003542083826404947,False
pierced,-0.011679564967691947,0.1362351492350132,0.2544280065397242,False
taste,-0.30382883811352845,-0.18807414322994215,-0.09731495856521859,True
preferred,0.03381651340290001,0.1076331852842813,0.19318108921809804,True
began,-0.4128724568065342,-0.316233238269358,-0.22822772202375305,True
title,-0.009187016281358191,0.12421246181004886,0.2513564774219915,False
adds,0.11738352179088767,0.2421781727652675,0.35529495748350587,True
lasts,0.0704256451424969,0.20265685285802193,0.32408613995074315,True
concerned,-0.09878803378428484,0.020888028287035378,0.14706981133733138,False
imagined,0.1300941978505117,0.2279545504195058,0.3181625964116174,True
19,-0.27631950493386565,-0.18031637059497568,-0.06590988763010941,True
gifting,0.14125942569463057,0.22355752891777145,0.3148914337962904,True
safe,-0.0847052910292586,0.042219630028711375,0.1440604299858355,False
tall,0.00782299932510796,0.10869158412507915,0.2075400388253433,True
china,-0.1866925037285057,-0.08176320609551255,-0.0059578303519104495,True
bring,0.01238983510443548,0.1185075615475921,0.2488448771526814,True
address,0.0026056181505298513,0.09360705969227032,0.20329516507531595,True
egg,-0.1874999383139165,-0.0930282412511879,-0.02682632078773697,True
knife,0.010072011932926634,0.10857763577062796,0.1901329531390463,True
provide,-0.09277583045923013,0.0422583510517312,0.16788902206100692,False
stretched,-0.24009939906851635,-0.15474897390763284,-0.07237293278082264,True
bottles,-0.019198660771686842,0.06551380038094874,0.156763902688042,False
quartz,-0.13589824414798643,-0.024855509628730007,0.10658956498427555,False
world,-0.1828132287521213,-0.05201265028509132,0.07298607565325291,False
tear,-0.23046050906492163,-0.15403873410594834,-0.06327596156811774,True
birthstone,-0.007986039122235975,0.11986803744859997,0.2375994594579627,False
fresh,0.23100046902114907,0.3183019494557626,0.4251080534054197,True
creases,-0.29451878319371877,-0.20816163288854012,-0.13266485096891803,True
sun,-0.13897249925306482,-0.05675607407689526,0.042918198299891665,False
complaints,0.35312880131249835,0.43613361443872584,0.541909802861698,True
messed,-0.41154464466254403,-0.2792525612021747,-0.18247375392210038,True
enjoyed,0.4078377566520796,0.5061741918091013,0.601955998756637,True
maker,0.00756226558238002,0.14617390478153308,0.2875769172626679,True
links,-0.1286804039471185,-0.014374500895520028,0.09237965098514198,False
pleasant,0.06397835669877043,0.1562607349979899,0.24187805002218046,True
press,-0.08585332857502327,-0.009780629017933164,0.0899133811018698,False
application,-0.134110684723324,-0.028442614954216478,0.0643861571167076,False
faint,-0.2388938101803523,-0.15081156207142213,-0.06438832070536116,True
wrote,-0.28148280542289517,-0.17900118866257203,-0.07111030744405478,True
zipper,-0.11638264333628918,-0.03724856172277945,0.031042775778517634,False
bending,-0.2199797274319947,-0.142828183935576,-0.021135463358479545,True
promptly,0.05196318077110262,0.15955015298207192,0.2523824377976049,True
